GEO2_MX,sum_num_intmig
484001001,32030.0
484001002,5107.0
484001003,10436.0
484001004,968.0
484001005,3245.0
484001006,1615.0
484001007,1016.0
484001008,1199.0
484004001,2519.0
484004004,1641.0
484004005,1423.0
484004006,9292.0
484005001,1735.0
484005003,1660.0
484005004,315.0
484005008,394.0
484005010,2718.0
484005013,84.0
484005014,903.0
484005015,69.0
484005016,102.0
484005017,319.0
484005018,3860.0
484005019,628.0
484005021,240.0
484005022,1581.0
484005025,5044.0
484005028,1815.0
484005029,53.0
484005032,3234.0
484006002,5797.0
484006003,1096.0
484006004,2811.0
484006005,1851.0
484006006,377.0
484006007,360.0
484006009,10636.0
484007001,308.0
484007002,403.0
484007003,1083.0
484007004,371.0
484007006,1192.0
484007007,353.0
484007008,453.0
484007010,312.0
484007011,632.0
484007014,53.0
484007015,938.0
484007016,546.0
484007019,2927.0
484007020,189.0
484007022,2.0
484007023,1309.0
484007024,6287.0
484007026,1154.0
484007027,250.0
484007028,242.0
484007030,1468.0
484007031,2577.0
484007032,1341.0
484007034,4261.0
484007036,2669.0
484007037,2811.0
484007038,491.0
484007039,1493.0
484007040,1721.0
484007041,803.0
484007044,229.0
484007047,615.0
484007049,341.0
484007050,57.0
484007051,1168.0
484007053,222.0
484007056,577.0
484007057,1102.0
484007058,203.0
484007064,208.0
484007066,38.0
484007069,559.0
484007070,225.0
484007071,309.0
484007075,783.0
484007076,1270.0
484007077,49.0
484007078,8631.0
484007080,1750.0
484007081,111.0
484007082,7.0
484007083,912.0
484007089,4176.0
484007093,0.0
484007094,525.0
484007095,446.0
484007097,116.0
484007098,1323.0
484007099,206.0
484007102,295.0
484007103,1027.0
484007104,700.0
484007105,418.0
484007106,203.0
484007108,79.0
484007109,205.0
484007110,512.0
484008008,114.0
484008013,94.0
484008015,463.0
484008017,93.0
484008019,163.0
484008020,3284.0
484008021,64.0
484008023,319.0
484008025,1284.0
484008028,137.0
484008030,5211.0
484008031,293.0
484008037,615.0
484008039,16.0
484008042,353.0
484008043,1963.0
484008047,105.0
484008054,164.0
484008055,47.0
484008056,60.0
484008057,69.0
484008058,342.0
484008062,70.0
484008065,435.0
484009001,90086.0
484009002,29670.0
484009003,6490.0
484009004,883.0
484009005,3947.0
484009006,16755.0
484010002,239.0
484010003,1531.0
484010007,6167.0
484010008,676.0
484010012,2576.0
484010015,639.0
484010016,373.0
484010020,348.0
484010021,306.0
484010022,3149.0
484010024,1000.0
484010028,960.0
484010029,209.0
484010030,667.0
484010031,4379.0
484010033,1075.0
484010037,536.0
484010038,1764.0
484011001,1594.0
484011002,2816.0
484011003,6290.0
484011004,5314.0
484011005,3234.0
484011006,1228.0
484011007,14271.0
484011008,1391.0
484011009,2476.0
484011010,3268.0
484011011,3998.0
484011012,2049.0
484011013,1812.0
484011014,4181.0
484011015,1917.0
484011016,1519.0
484011017,11704.0
484011018,1134.0
484011019,3239.0
484011020,20918.0
484011021,2633.0
484011022,1216.0
484011023,6877.0
484011024,1671.0
484011025,1669.0
484011026,6840.0
484011027,9779.0
484011028,2278.0
484011029,4607.0
484011031,7268.0
484011032,1452.0
484011033,3075.0
484011034,2253.0
484011035,1609.0
484011036,848.0
484011037,2229.0
484011038,1364.0
484011039,1191.0
484011040,728.0
484011041,7278.0
484011042,1791.0
484011043,2585.0
484011044,1793.0
484011045,1284.0
484011046,45311.0
484012001,8478.0
484012002,619.0
484012003,2670.0
484012004,599.0
484012005,1056.0
484012006,2024.0
484012007,638.0
484012008,2955.0
484012009,157.0
484012010,235.0
484012011,1299.0
484012012,555.0
484012013,2173.0
484012014,1123.0
484012015,871.0
484012016,83.0
484012017,481.0
484012018,983.0
484012019,2013.0
484012020,397.0
484012021,894.0
484012023,334.0
484012024,344.0
484012025,265.0
484012026,959.0
484012027,347.0
484012028,209.0
484012029,1994.0
484012030,894.0
484012031,326.0
484012032,56751.0
484012033,12958.0
484012034,5154.0
484012035,6520.0
484012036,426.0
484012037,4477.0
484012039,5390.0
484012040,485.0
484012041,619.0
484012042,1151.0
484012043,3138.0
484012044,482.0
484012045,5185.0
484012046,1740.0
484012047,470.0
484012048,1047.0
484012049,554.0
484012050,4588.0
484012051,1348.0
484012052,628.0
484012053,765.0
484012054,6591.0
484012055,1357.0
484012056,955.0
484012057,503.0
484012058,4648.0
484012059,874.0
484012060,599.0
484012061,2106.0
484012062,364.0
484012063,207.0
484012064,973.0
484012065,687.0
484012066,2639.0
484012067,1857.0
484012068,1090.0
484012069,1110.0
484012070,276.0
484012071,430.0
484012072,165.0
484012073,395.0
484012074,1690.0
484013001,2826.0
484013002,2835.0
484013003,22370.0
484013004,2600.0
484013005,13786.0
484013006,14599.0
484013007,4960.0
484013008,633.0
484013009,16983.0
484013010,8522.0
484013011,2919.0
484013012,2659.0
484013013,2686.0
484013014,4991.0
484013015,5034.0
484013016,29556.0
484013017,2740.0
484013018,3027.0
484013019,25094.0
484013020,627.0
484013021,18044.0
484013022,28646.0
484013023,6322.0
484013024,3960.0
484013025,2591.0
484013026,2097.0
484013027,6134.0
484013028,3104.0
484013029,7733.0
484013030,10463.0
484013031,14886.0
484013032,24480.0
484013033,2240.0
484013034,1184.0
484013035,9081.0
484013036,746.0
484013037,345.0
484013038,729.0
484013039,6393.0
484013040,2741.0
484013041,5865.0
484013042,1737.0
484013043,762.0
484013044,6051.0
484013045,2742.0
484013046,931.0
484013047,2813.0
484013048,14384.0
484013049,18295.0
484013050,3446.0
484013051,1290.0
484013052,508.0
484013053,1191.0
484013054,955.0
484013055,4146.0
484013056,378.0
484013057,3769.0
484013058,6352.0
484013059,2662.0
484013060,4020.0
484013061,2013.0
484013062,1009.0
484013063,907.0
484013064,2117.0
484013065,1341.0
484013066,2269.0
484013067,185.0
484013068,906.0
484013069,533.0
484013070,1724.0
484013071,1551.0
484013072,1641.0
484013073,822.0
484013074,2896.0
484013075,8493.0
484013076,2084.0
484013077,396.0
484013078,232.0
484013079,1243.0
484013080,2008.0
484013081,271.0
484013082,2970.0
484014001,2625.0
484014002,1938.0
484014003,1726.0
484014004,5047.0
484014005,1010.0
484014006,3744.0
484014007,1989.0
484014008,6609.0
484014009,2313.0
484014010,459.0
484014011,788.0
484014012,1586.0
484014013,2519.0
484014014,966.0
484014015,2714.0
484014016,1992.0
484014017,997.0
484014018,3215.0
484014019,395.0
484014021,1064.0
484014022,760.0
484014023,8808.0
484014024,3876.0
484014025,5836.0
484014026,1354.0
484014027,229.0
484014028,507.0
484014029,2316.0
484014030,3307.0
484014031,215.0
484014032,314.0
484014033,4823.0
484014034,457.0
484014035,2780.0
484014036,926.0
484014037,2996.0
484014038,785.0
484014039,27821.0
484014040,444.0
484014041,1010.0
484014043,839.0
484014044,1539.0
484014045,2187.0
484014046,4104.0
484014047,2146.0
484014048,1568.0
484014049,1018.0
484014050,1770.0
484014051,2448.0
484014052,881.0
484014053,3190.0
484014054,892.0
484014055,1232.0
484014056,193.0
484014057,4098.0
484014058,277.0
484014059,926.0
484014060,1773.0
484014062,278.0
484014063,4252.0
484014064,1096.0
484014065,972.0
484014066,2132.0
484014067,6760.0
484014068,107.0
484014069,1167.0
484014070,2878.0
484014071,587.0
484014072,3769.0
484014073,3979.0
484014074,1926.0
484014075,471.0
484014076,145.0
484014077,2251.0
484014078,2283.0
484014079,1931.0
484014080,166.0
484014081,850.0
484014082,3155.0
484014083,2663.0
484014085,655.0
484014086,546.0
484014087,1942.0
484014088,765.0
484014089,434.0
484014090,484.0
484014091,3623.0
484014092,1235.0
484014093,4351.0
484014094,2756.0
484014095,2069.0
484014096,1649.0
484014097,7392.0
484014098,10041.0
484014099,2802.0
484014101,11305.0
484014102,1084.0
484014103,618.0
484014104,639.0
484014105,2161.0
484014106,808.0
484014107,694.0
484014108,519.0
484014109,1187.0
484014110,2245.0
484014111,1242.0
484014112,1715.0
484014113,1100.0
484014114,831.0
484014115,668.0
484014116,2075.0
484014117,1726.0
484014118,3100.0
484014119,2832.0
484014120,22565.0
484014121,1862.0
484014122,161.0
484014123,1810.0
484014124,3092.0
484015001,2073.0
484015002,3092.0
484015003,1660.0
484015004,3913.0
484015005,2324.0
484015006,3040.0
484015007,443.0
484015008,4553.0
484015009,1492.0
484015010,3693.0
484015011,55926.0
484015012,2259.0
484015013,13158.0
484015014,2271.0
484015015,3792.0
484015016,522.0
484015017,165.0
484015018,1932.0
484015019,3786.0
484015020,16052.0
484015021,2398.0
484015022,977.0
484015023,1576.0
484015024,17302.0
484015025,11436.0
484015026,1064.0
484015027,590.0
484015028,3404.0
484015029,6965.0
484015030,4889.0
484015031,1352.0
484015032,645.0
484015033,2605.0
484015034,664.0
484015035,8684.0
484015036,282.0
484015037,16939.0
484015038,3421.0
484015039,744.0
484015040,1141.0
484015041,21012.0
484015042,7718.0
484015043,937.0
484015044,1432.0
484015045,1412.0
484015046,899.0
484015047,1852.0
484015048,1283.0
484015049,1038.0
484015050,4172.0
484015051,7119.0
484015052,14497.0
484015053,1241.0
484015054,695.0
